Module.code,Module.name,Year.Level,Programmes,Pre-requisite,Co-requisite
ECO311,Economics 311,Year 3,BSc Mathematics and Statistical Sciences 3227 ,ECO242,None
ECO331,Economics 331,Year 3,BSc Mathematics and Statistical Sciences 3227 ,ECO231,None
ECO332,Economics 332,Year 3,BSc Mathematics and Statistical Sciences 3227 ,ECO232,None
ECO334,Economics 334,Year 3,BSc Mathematics and Statistical Sciences 3227 ,"ECO231, ECO232",None
ECO335,Economics 335,Year 3,BSc Mathematics and Statistical Sciences 3227 ,"ECO231, ECO232",None
ECO336,Economics 336,Year 3,BSc Mathematics and Statistical Sciences 3227 ,ECO232,None
EED117,English for Educational Development 117,Year 1,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Biotechnology 3211 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Medical Bioscience 3230 ,BSc Physical Science 3233 ",None,None
EED127,English for Educational Development 127,Year 1,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Biotechnology 3211 ,BSc Computer Science 3221 ,BSc Environment and Water Science 3331 ,BSc Mathematics and Statistical Sciences 3227 ,BSc Medical Bioscience 3230 ,BSc Physical Science 3233 ",None,None
ESC111,Earth Science 111,Year 1,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Environment and Water Science 3331 ,BSc Physical Science 3233 ,BSc Applied Geology Extended 3011 ,BSc Biodiversity Extended 3015 ",None,None
ESC121,Earth Science 121,Year 1,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Environment and Water Science 3331 ,BSc Physical Science 3233 ,BSc Applied Geology Extended 3011 ,BSc Biodiversity Extended 3015 ",None,None
EWP211,Environmental and Water Science 211,Year 2,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Environment and Water Science 3331 ,BSc Applied Geology Extended 3011 ,BSc Biodiversity Extended 3015 ","ESC111, ESC121",None
EWP221,Environmental and Water Science 221,Year 2,"BSc Applied Geology 3214 ,BSc Biodiversity 3217 ,BSc Environment and Water Science 3331 ,BSc Applied Geology Extended 3011 ,BSc Biodiversity Extended 3015 ","ESC111, ESC121",None
EWP222,Environmental and Water Science 222,Year 2,BSc Environment and Water Science 3331 ,"ESC111, ESC121","EWP211, EWP221"
EWP311,Geographical Information Systems 311,Year 3,BSc Environment and Water Science 3331 ,"EWP211, EWP221, EWP222",None
EWP312,Environmental and Water Science 312,Year 3,BSc Environment and Water Science 3331 ,"EWP211, EWP221, EWP222",None
EWP321,Environmental and Water Science 321,Year 3,"BSc Biodiversity 3217 ,BSc Environment and Water Science 3331 ,BSc Biodiversity Extended 3015 ","EWP211, EWP221",None
EWP322,Environmental and Water Science 322,Year 3,BSc Environment and Water Science 3331 ,"EWP211, EWP221, EWP222",None
HUB113,Human Biology 113,Year 1,Bachelor of Pharmacy 3305 ,None,None
HUB123,Human Biology 123,Year 1,Bachelor of Pharmacy 3305 ,None,None
IFS132,Information Systems 132,Year 1,BSc Computer Science 3221 ,None,None
IFS231,Information Systems 231,Year 2,BSc Computer Science 3221 ,"IFS131/132, COS101/114, COS124, EED127, ISC153, MAT151/103, MAT104, STA111, IFS131/132, COS101, PHY151, MAT151",None
IFS233,Information Systems 233,Year 2,BSc Computer Science 3221 ,IFS231,None
IFS316,Information Systems 316,Year 3,BSc Computer Science 3221 ,"IFS233, IFS244",None
IFS317,Information Systems 317,Year 3,BSc Computer Science 3221 ,IFS316,None
ISC153,Introduction to Science 153,Year 1,"BSc Applied Geology Extended 3011 ,BSc Biodiversity Extended 3015 ",None,PHY151/LFS151; MAM151/150
LFS151,Life Sciences 151 (SF ,Year 1,BSc Biodiversity Extended 3015 ,None,None
LFS152,Life Sciences 152 (SF ,Year 1,BSc Biodiversity Extended 3015 ,None,None
